Line,Total reads,kmer reads
C01,16052775,115497
C02,15377417,134315
C03,20484648,151509
C06,19724751,163809
C07,16000054,115827
C08,15927185,139124
C12,19037018,178041
C13,18569455,138235
C14,19923315,145898
C16,19389705,158501
C17,20841704,169392
C18,16443624,152453
C20,14998611,178398
C21,15694122,143813
C24,16823314,159988
C25,14768591,128762
C34,16780743,169018
C35,11795273,88528
C36,18297316,134553
C37,16582725,100828
C38,17613560,148345
C39,13087189,97145
C40,18444977,164451
C44,15388569,112069
C23,29731993,307073
C27,35555456,311117
C43,33346061,252693
C49,31612550,244677
CC3,30508672,222836
CC4,27975435,215595
CC6,31302807,265289
CC7,33013099,312574
CC8,32146556,210158
CC9,38613787,286600
total,731853057,6017111